diffNuisances run on fitDiagnosticsTest.root, at 2021-12-13 08:36:43.973077 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

syst2018_bTaggingSF                              +2.23, 0.97     ! -0.00, 0.96!       -0.02      -0.002
syst2017_pileupReweight                          -0.10, 0.95        -0.00, 0.99       +0.02      +0.002
syst2017_muFastSim                               -0.00, 1.00        +0.00, 1.00       -0.02      -0.002
syst2016_unclusteredEnergy                       -0.38, 0.75     * -0.00, 0.88*     *+0.02*      +0.001
syst2016_pileupReweight                          -0.06, 1.03        +0.00, 0.97       +0.02      +0.001
syst2016_muFastSim                               +0.00, 1.00        +0.00, 1.00       -0.02      -0.002
syst2016_eleFastSim                              +0.00, 1.00        -0.00, 0.99       -0.02      -0.002
stat2018_sig_SRB10                               +0.00, 1.00        +0.00, 0.81     *-0.02*      -0.002
stat2018_fake_SRB6                               -0.16, 0.75     * -0.00, 0.79*     *+0.02*      +0.001
stat2018_fake_SRB4                               +0.44, 1.14     * +0.00, 0.98*       -0.02      -0.002
stat2018_fake_SRB3                               +0.16, 1.15     * +0.00, 0.99*       -0.02      -0.001
stat2018_fake_SRB13                              -0.43, 0.83     * +0.00, 0.88*     *+0.02*      +0.001
stat2017_sig_SRB4                                +0.00, 1.00        -0.00, 0.84     *-0.02*      -0.002
stat2017_sig_SRB10                               +0.00, 1.00        -0.00, 0.87     *+0.02*      +0.002
stat2017_fake_SRB8                               +0.02, 0.90        +0.00, 0.94       -0.02      -0.002
stat2017_fake_SRB3                               +0.14, 0.91        +0.00, 0.95       -0.02      -0.002
stat2017_fake_SRB11                              -0.13, 0.76     * -0.00, 0.82*     *+0.02*      +0.002
stat2017_TT_SRB2                                 +0.51, 1.00     * +0.00, 0.99*       -0.02      -0.001
stat2016_fake_SRB5                               +2.10, 0.51     ! +0.00, 0.98!       -0.02      -0.002
